taxonomic_path	common_name	JDFB_01_062425	JDFB_02_062425	JDFB_03_062525	JDFB_04_062525	JDFB_05_062525	JDFB_06_062525	JDFB_07_062525	JDFB_08_062525	JDFB_09_062525	JDFB_10_062525	JDFB_11_062525	JDFB_12_062525	JDFB_13_062525	JDFB_14_062525	JDFB_15_062625	JDFB_16_062625	JDFB_17_062625	JDFB_18_062625	JDFB_19_062625	JDFB_20_062625	JDFB_21_062625	JDFB_22_062625	JDFB_23_062625	JDFB_24_062625	JDFB_25_062625	JDFB_26_062625	JDFB_27_062625	JDFB_28_062625	JDFB_29_062625	JDFB_30_072425	JDFB_31_072425	JDFB_32_073025	JDFB_33_073025	JDFB_34_073025	JDFB_35_073025	JDFB_36_073025	JDFB_37_073025	JDFB_38_082625	JDFB_39_082625	JDFB_40_082625	JDFB_41_082625	JDFB_42_082625	JDFB_43_082625	JDFB_44_082625	JDFB_45_082725	JDFB_46_082725	JDFB_47_082725	JDFB_48_082725	JDFB_49_082725	JDFB_50_082725	JDFB_51_082725	JDFB_52_082725	JDFB_53_082725	JDFB_54_082725	JDFB_55_082725	JDFB_56_082735	JDFB_57_082825	JDFB_58_082825	JDFB_59_082825	JDFB_60_082825	JDFB_61_082825	JDFB_62_082825	JDFB_63_082825	JDFB_64_082825	JDFB_65_082825	JDFB_66_082825	JDFB_67_082825	JDFB_68_082825	JDFB_69_082825	JDFB_70_082825	JDFB_71_092325	JDFB_72_092325	JDFB_73_092425	JDFB_74_092425	JDFB_75_092425	JDFB_76_092425	JDFB_77_092425	JDFB_78_092425	JDFB_79_092525	JDFB_80_092525	JDFB_81_092525	JDFB_82_092525	JDFB_83_092525	JDFB_84_092525	JDFB_85_092525	JDFB_86_092525	JDFB_87_092525	JDFB_88_092525	JDFB_89_092525	JDFB_90_092525	JDFB_BK1_01_062525	JDFB_BK1_03_062625	JDFB_BK1_05_072425	JDFB_BK1_06_073025	JDFB_BK1_08_082625	JDFB_BK1_10_082725	JDFB_BK1_12_082825	JDFB_BK1_14_092425	JDFB_BK1_16_092525	JDFB_BK2_02_062525	JDFB_BK2_04_062625	JDFB_BK2_07_073025	JDFB_BK2_09_082625	JDFB_BK2_11_082725	JDFB_BK2_13_082825	JDFB_BK2_15_092425	JDFB_BK2_17_092525	OAK_01_072825	OAK_02_072825	OAK_03_072825	OAK_04_072825	OAK_05_072825	OAK_06_072825	OAK_07_072825	OAK_08_072825	OAK_BK1_01_072825	OAK_BK2_02_072825	PBN_TOW_BTM_15m_092425	PBN_TOW_BTM_3m_092425	PBN_TOW_PORT_15m_092425	PBN_TOW_PORT_3m_092425	PBN_TOW_STBD_15m_092425	PBN_TOW_STBD_3m_092425	PG_PCR_Blank_2	PG_ext_blank_1	PG_ext_blank_2	PTBAY_TOW_BTM_8m_092225	PTBAY_TOW_PORT_8m_092225	PTBAY_TOW_STBD_8m_092225	SJI_01_072125	SJI_02_072125	SJI_03_072125	SJI_04_072125	SJI_05_072125	SJI_06_072125	SJI_07_072125	SJI_08_072125	SJI_BK1_01_072125	SJI_BK2_02_072125	SQU_01_072925	SQU_02_072925	SQU_03_072925	SQU_04_072925	SQU_05_072925	SQU_06_072925	SQU_07_072925	SQU_08_072925	SQU_BK1_01_072925	SQU_BK2_02_072925
Animalia;Annelida	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Animalia;Annelida;Clitellata	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Animalia;Annelida;Clitellata;Arhynchobdellida	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Animalia;Annelida;Clitellata;Haplotaxida	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Animalia;Annelida;Clitellata;Haplotaxida;Lumbricidae	Earthworms	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Animalia;Annelida;Clitellata;Haplotaxida;Lumbricidae;Bimastos;Bimastos tumidus	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Animalia;Annelida;Clitellata;Haplotaxida;Megascolecidae;Amynthas	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Animalia;Annelida;Clitellata;Haplotaxida;Megascolecidae;Metaphire;Metaphire sieboldi	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Animalia;Annelida;Clitellata;Haplotaxida;Tubificidae	Aquatic oligochaete worm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
Animalia;Annelida;Clitellata;Rhynchobdellida	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Animalia;Annelida;Polychaeta	Paddle-footed annelids	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	8	5	0	0	0	0	0	0	0
Animalia;Annelida;Polychaeta;Capitellida;Capitellidae;Barantolla;Barantolla americana CMC01	Capitellid worms	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
Animalia;Annelida;Polychaeta;Capitellida;Maldanidae;Axiothella;Axiothella rubrocincta	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Animalia;Annelida;Polychaeta;Capitellida;Maldanidae;Nicomache;Nicomache personata	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Animalia;Annelida;Polychaeta;Capitellida;Scalibregmatidae;Scalibregma;Scalibregma inflatum CMC03	Paddle-footed annelids	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Animalia;Annelida;Polychaeta;Eunicida;Eunicidae;Eunice;Eunice valens	Paddle-footed annelids	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Animalia;Annelida;Polychaeta;Eunicida;Onuphidae;Diopatra;Diopatra cf. ornata JZ-2010	Beachworms	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	20	26	13	17	25	0	0	0	0	4817	2	3	9	3	8	0	0	0	5	3	12	0	9	5	0	32	2	0	0	0	0	9	0	6	6	2	0	0	0	0	0
Animalia;Annelida;Polychaeta;Flabelligerida;Flabelligeridae;Brada;Brada villosa CMC02	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Animalia;Annelida;Polychaeta;Golfingiida	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Animalia;Annelida;Polychaeta;Golfingiida;Golfingiidae;Thysanocardia;Thysanocardia nigra	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
